Hostname Server_IP Service Configuration_Status Comment
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 DNS CONFIGURED_CORRECTLY DNS_is_configured
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 DNS CONFIGURED_CORRECTLY DNS_is_configured
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 Forward_DNS CONFIGURED_CORRECTLY Forward_DNS_is_correct
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 Forward_DNS CONFIGURED_CORRECTLY Forward_DNS_is_correct
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 Reverse_DNS NOT_CONFIGURED_CORRECTLY Reverse_DNS_is_correct
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 Reverse_DNS NOT_CONFIGURED_CORRECTLY Reverse_DNS_is_correct
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 IPv6 NOT_CONFIGURED_CORRECTLY IPv6_is_disabled
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 IPv6 NOT_CONFIGURED_CORRECTLY IPv6_is_disabled
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 Static_IP CONFIGURED_CORRECTLY Static_IP_is_set
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 Static_IP CONFIGURED_CORRECTLY Static_IP_is_set
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 FQDN CONFIGURED_CORRECTLY Hostname_is_FQDN
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 FQDN CONFIGURED_CORRECTLY Hostname_is_FQDN
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 NIC CONFIGURED_CORRECTLY NIC_configuration_verified
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 NIC CONFIGURED_CORRECTLY NIC_configuration_verified
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 NIC_Firmware CONFIGURED_CORRECTLY NIC_firmware_checked
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 NIC_Firmware CONFIGURED_CORRECTLY NIC_firmware_checked
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 IPv4 CONFIGURED_CORRECTLY IPv4_should_be_used
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 IPv4 CONFIGURED_CORRECTLY IPv4_should_be_used
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 AD_Reachability NOT_REACHABLE AD_server_192.168.1.1
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 AD_Reachability NOT_REACHABLE AD_server_192.168.1.1
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 DB_Reachability NOT_REACHABLE DB_server_192.168.1.2
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 DB_Reachability NOT_REACHABLE DB_server_192.168.1.2
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 NTP_Reachability NOT_REACHABLE NTP_server_192.168.1.3
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 NTP_Reachability NOT_REACHABLE NTP_server_192.168.1.3
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 AD_Authentication AUTHENTICATION_FAILED AD_server_192.168.1.1
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 AD_Authentication AUTHENTICATION_FAILED AD_server_192.168.1.1
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 DB_Authentication AUTHENTICATION_FAILED DB_server_192.168.1.2
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 DB_Authentication AUTHENTICATION_FAILED DB_server_192.168.1.2
ip-172-31-25-226.eu-north-1.compute.internal 172.31.25.226 NTP_Authentication AUTHENTICATION_FAILED NTP_server_192.168.1.3
ip-172-31-31-151.eu-north-1.compute.internal 172.31.31.151 NTP_Authentication AUTHENTICATION_FAILED NTP_server_192.168.1.3

